barcode,first_type
cellid_000000475-1,Myeloid
cellid_000000476-1,Tumor
cellid_000000477-1,Endothelial
cellid_000000478-1,Fibroblast
cellid_000000479-1,Fibroblast
cellid_000000480-1,B cells
cellid_000000481-1,Fibroblast
cellid_000000482-1,Tumor
cellid_000000483-1,Endothelial
cellid_000000484-1,B cells
cellid_000000485-1,Fibroblast
cellid_000000486-1,Tumor
cellid_000000487-1,Tumor
cellid_000000488-1,Myeloid
cellid_000000489-1,T cells
cellid_000000490-1,Myeloid
cellid_000000491-1,Endothelial
cellid_000000492-1,Tumor
cellid_000000493-1,Tumor
cellid_000000494-1,Tumor
cellid_000000495-1,Tumor
cellid_000000496-1,Tumor
cellid_000000497-1,Tumor
cellid_000000498-1,Tumor
cellid_000000499-1,Tumor
cellid_000000500-1,Tumor
cellid_000000501-1,Fibroblast
cellid_000000502-1,Tumor
cellid_000000503-1,Endothelial
cellid_000000504-1,Fibroblast
cellid_000000505-1,Tumor
cellid_000000506-1,Tumor
cellid_000000507-1,Endothelial
cellid_000000508-1,Fibroblast
cellid_000000509-1,B cells
cellid_000000510-1,Tumor
cellid_000000511-1,Tumor
cellid_000000512-1,Fibroblast
cellid_000000513-1,Fibroblast
cellid_000000514-1,Tumor
cellid_000000515-1,T cells
cellid_000000516-1,Tumor
cellid_000000517-1,Tumor
cellid_000000518-1,Endothelial
cellid_000000519-1,Tumor
cellid_000000520-1,Tumor
cellid_000000521-1,Fibroblast
cellid_000000522-1,Tumor
cellid_000000523-1,Myeloid
cellid_000000524-1,Myeloid
cellid_000000525-1,Tumor
cellid_000000526-1,Myeloid
cellid_000000527-1,T cells
cellid_000000528-1,Tumor
cellid_000000529-1,Tumor
cellid_000000530-1,Fibroblast
cellid_000000531-1,Myeloid
cellid_000000532-1,Myeloid
cellid_000000533-1,Tumor
cellid_000000534-1,Tumor
cellid_000000535-1,Tumor
cellid_000000536-1,Tumor
cellid_000000537-1,T cells
cellid_000000538-1,Myeloid
cellid_000000539-1,Tumor
cellid_000000540-1,Tumor
cellid_000000541-1,Myeloid
cellid_000000542-1,Myeloid
cellid_000000543-1,Myeloid
cellid_000000544-1,Endothelial
cellid_000000545-1,Fibroblast
cellid_000000546-1,Tumor
cellid_000000547-1,Myeloid
cellid_000000548-1,Tumor
cellid_000000549-1,Tumor
cellid_000000550-1,Tumor
cellid_000000551-1,Tumor
cellid_000000552-1,Tumor
cellid_000000553-1,Tumor
cellid_000000554-1,Tumor
cellid_000000555-1,Endothelial
cellid_000000556-1,Tumor
cellid_000000557-1,Tumor
cellid_000000558-1,Tumor
cellid_000000559-1,Tumor
cellid_000000560-1,Tumor
cellid_000000561-1,Tumor
cellid_000000562-1,Endothelial
cellid_000000563-1,Fibroblast
cellid_000000564-1,Myeloid
cellid_000000565-1,Myeloid
cellid_000000566-1,T cells
cellid_000000567-1,Tumor
cellid_000000568-1,Myeloid
cellid_000000569-1,Tumor
cellid_000000570-1,Tumor
cellid_000000571-1,Fibroblast
cellid_000000572-1,Tumor
cellid_000000573-1,Tumor
cellid_000000574-1,Fibroblast
cellid_000000575-1,Fibroblast
cellid_000000576-1,T cells
cellid_000000577-1,Tumor
cellid_000000578-1,Endothelial
cellid_000000579-1,Myeloid
cellid_000000580-1,Tumor
cellid_000000581-1,Tumor
cellid_000000582-1,Endothelial
cellid_000000583-1,Tumor
cellid_000000584-1,Tumor
cellid_000000585-1,T cells
cellid_000000586-1,Myeloid
cellid_000000587-1,T cells
cellid_000000588-1,Tumor
cellid_000000589-1,Myeloid
cellid_000000590-1,Myeloid
cellid_000000591-1,Tumor
cellid_000000592-1,Endothelial
cellid_000000593-1,Tumor
cellid_000000594-1,Fibroblast
cellid_000000595-1,Tumor
cellid_000000596-1,Tumor
cellid_000000597-1,Tumor
cellid_000000598-1,Myeloid
cellid_000000599-1,T cells
cellid_000000600-1,T cells
cellid_000000601-1,Myeloid
cellid_000000602-1,Tumor
cellid_000000603-1,Tumor
cellid_000000604-1,T cells
cellid_000000605-1,Tumor
cellid_000000606-1,Myeloid
cellid_000000607-1,Tumor
cellid_000000608-1,Tumor
cellid_000000609-1,Myeloid
cellid_000000610-1,B cells
cellid_000000611-1,Tumor
cellid_000000612-1,Fibroblast
cellid_000000613-1,Tumor
cellid_000000614-1,Tumor
cellid_000000615-1,Myeloid
cellid_000000616-1,B cells
cellid_000000617-1,Fibroblast
cellid_000000618-1,Myeloid
cellid_000000619-1,Tumor
cellid_000000620-1,Fibroblast
cellid_000000621-1,Tumor
cellid_000000622-1,Myeloid
cellid_000000623-1,Tumor
cellid_000000624-1,T cells
cellid_000000625-1,Tumor
cellid_000000626-1,Tumor
cellid_000000627-1,Tumor
cellid_000000628-1,Tumor
cellid_000000629-1,Tumor
cellid_000000630-1,Tumor
cellid_000000631-1,B cells
cellid_000000632-1,Fibroblast
cellid_000000633-1,Fibroblast
cellid_000000635-1,Tumor
cellid_000000636-1,Tumor
cellid_000000637-1,Tumor
cellid_000000638-1,Tumor
cellid_000000639-1,Tumor
cellid_000000640-1,Tumor
cellid_000000641-1,Tumor
cellid_000000642-1,Tumor
cellid_000000643-1,Fibroblast
cellid_000000644-1,Endothelial
cellid_000000645-1,Fibroblast
cellid_000000646-1,Tumor
cellid_000000647-1,Fibroblast
cellid_000000648-1,Tumor
cellid_000000649-1,Fibroblast
cellid_000000650-1,Fibroblast
cellid_000000651-1,Tumor
cellid_000000652-1,Myeloid
cellid_000000653-1,Tumor
cellid_000000654-1,Tumor
cellid_000000655-1,Tumor
cellid_000000656-1,Tumor
cellid_000000657-1,Endothelial
cellid_000000658-1,Endothelial
cellid_000000659-1,B cells
cellid_000000660-1,Tumor
cellid_000000661-1,Tumor
cellid_000000662-1,Myeloid
cellid_000000663-1,Fibroblast
cellid_000000664-1,Fibroblast
cellid_000000665-1,Tumor
